policy_id,age,gender,marital_status,vehicle_age,vehicle_value,vehicle_type,policy_tenure,deductible,coverage_type,region,state,claim_type,at_fault,weather_condition,time_of_day,claim_amount
107,73,M,Divorced,10,42554.0,SUV,1.0,500,Standard,Rural,NY,Comprehensive,Yes,Rain,Afternoon,9574
108,47,M,Divorced,6,5000.0,Sedan,2.0,1000,Basic,Urban,OH,Collision,Yes,Clear,Evening,6477
109,48,M,Married,13,17657.0,SUV,3.0,500,Basic,Suburban,IL,Liability,No,Rain,Night,4849
110,43,F,Married,4,9918.0,SUV,7.0,500,Premium,Suburban,NC,Liability,No,Fog,Evening,12595
111,18,F,Married,2,17146.0,SUV,3.0,500,Standard,Urban,IL,Collision,Yes,Rain,Morning,15831
112,44,M,Married,17,21225.0,Luxury,1.0,2000,Basic,Urban,FL,Collision,Yes,Snow,Morning,6143
113,45,F,Married,3,12107.0,SUV,3.0,250,Standard,Suburban,PA,Comprehensive,Yes,Clear,Night,7863
114,81,F,Single,5,5501.0,SUV,0.0,250,Premium,Rural,CA,Comprehensive,Yes,Clear,Morning,11940
115,42,M,Single,2,24429.0,Truck,7.0,250,Basic,Suburban,OH,Comprehensive,Yes,Clear,Afternoon,4832
116,49,M,Single,5,62518.0,Truck,3.0,1000,Standard,Urban,CA,Collision,Yes,Clear,Night,9601
117,44,F,Single,6,18478.0,SUV,4.0,250,Premium,Urban,FL,Collision,No,Clear,Afternoon,7636
118,27,F,Single,4,35584.0,Sedan,0.0,500,Basic,Rural,FL,Comprehensive,Yes,Rain,Morning,5526
119,62,M,Married,3,46732.0,Luxury,3.0,1000,Premium,Suburban,PA,Comprehensive,Yes,Clear,Night,9774
120,56,F,Widowed,1,8518.0,Sedan,3.0,250,Basic,Urban,TX,Liability,Yes,Clear,Afternoon,8816
121,56,M,Married,5,17524.0,Sedan,3.0,500,Basic,Suburban,CA,Comprehensive,No,Clear,Evening,4663
122,31,M,Divorced,11,11635.0,Luxury,7.0,500,Premium,Urban,NY,Collision,Yes,Fog,Morning,14823
123,66,M,Married,0,14718.0,Sports,5.0,500,Basic,Rural,MI,Collision,Yes,Clear,Night,8030
124,23,M,Married,0,51586.0,Sedan,3.0,1000,Basic,Urban,FL,Collision,Yes,Snow,Afternoon,9166
125,53,F,Married,0,24632.0,Sedan,8.0,250,Premium,Urban,TX,Collision,Yes,Snow,Afternoon,16395
126,77,F,Married,12,32676.0,Truck,1.0,1000,Standard,Suburban,OH,Comprehensive,No,Clear,Afternoon,5397
127,30,M,Divorced,5,21548.0,Sedan,2.0,1000,Standard,Suburban,IL,Comprehensive,Yes,Clear,Night,6840
128,36,F,Divorced,15,12024.0,Sedan,4.0,500,Standard,Urban,IL,Liability,No,Rain,Afternoon,7999
129,46,F,Married,4,30916.0,Luxury,2.0,1000,Premium,Urban,IL,Comprehensive,Yes,Clear,Morning,8225
130,37,M,Single,3,41203.0,SUV,1.0,500,Premium,Urban,OH,Collision,Yes,Rain,Evening,16146
131,21,F,Married,7,25814.0,Truck,0.0,1000,Basic,Suburban,MI,Liability,Yes,Clear,Afternoon,8702
132,46,M,Single,0,28129.0,Truck,4.0,500,Standard,Urban,NY,Liability,Yes,Clear,Morning,12211
133,29,F,Single,2,11879.0,Truck,0.0,250,Standard,Urban,CA,Collision,Yes,Clear,Evening,10919
134,52,M,Divorced,3,31364.0,Sports,0.0,250,Basic,Urban,NY,Comprehensive,No,Rain,Afternoon,4376
135,31,F,Married,1,43174.0,SUV,0.0,500,Standard,Rural,FL,Comprehensive,Yes,Rain,Evening,8177
136,68,M,Married,2,26964.0,Truck,4.0,2000,Basic,Suburban,CA,Collision,Yes,Snow,Night,7304
137,33,F,Divorced,0,8969.0,Truck,0.0,500,Standard,Suburban,GA,Collision,No,Rain,Evening,6062
138,40,F,Married,1,49901.0,Luxury,14.0,1000,Basic,Suburban,PA,Liability,No,Clear,Night,6318
139,57,M,Married,2,13733.0,Truck,5.0,2000,Standard,Suburban,MI,Liability,Yes,Clear,Morning,8263
140,26,M,Single,7,26739.0,Sports,1.0,500,Basic,Suburban,OH,Collision,No,Rain,Morning,5366
141,48,M,Married,1,35471.0,Sedan,3.0,500,Premium,Rural,TX,Comprehensive,No,Rain,Afternoon,5398
142,64,F,Married,2,37790.0,Sedan,0.0,500,Basic,Urban,OH,Collision,Yes,Clear,Afternoon,8625
143,20,M,Married,0,8955.0,Sedan,7.0,1000,Premium,Urban,MI,Comprehensive,Yes,Rain,Afternoon,10341
144,47,F,Single,4,23355.0,Sedan,1.0,250,Basic,Urban,OH,Liability,Yes,Clear,Night,9864
145,48,M,Single,4,22595.0,Sedan,0.0,500,Standard,Suburban,TX,Comprehensive,Yes,Clear,Evening,7274
146,56,M,Married,10,45229.0,Sedan,5.0,500,Standard,Suburban,MI,Collision,Yes,Rain,Morning,11850
147,26,M,Married,8,27704.0,Luxury,1.0,1000,Basic,Suburban,TX,Comprehensive,Yes,Rain,Afternoon,5774
148,25,M,Married,1,45435.0,Sedan,3.0,250,Premium,Rural,MI,Collision,Yes,Clear,Afternoon,17793
149,52,F,Married,0,28852.0,SUV,7.0,1000,Premium,Suburban,CA,Liability,Yes,Clear,Afternoon,13791
150,49,F,Single,0,21224.0,Truck,5.0,500,Standard,Urban,FL,Comprehensive,No,Snow,Evening,4906
151,48,M,Married,17,24268.0,Sedan,1.0,1000,Basic,Suburban,OH,Liability,Yes,Rain,Afternoon,8097
152,50,M,Divorced,5,47183.0,Sedan,8.0,1000,Standard,Urban,TX,Collision,No,Snow,Evening,5799
153,34,M,Single,0,11516.0,Sedan,1.0,500,Premium,Suburban,OH,Collision,Yes,Clear,Afternoon,12636
154,48,F,Married,0,34647.0,Sedan,2.0,500,Standard,Urban,FL,Liability,No,Fog,Night,8176
155,49,M,Married,3,16093.0,Luxury,3.0,1000,Standard,Suburban,IL,Liability,No,Clear,Morning,5568
156,34,F,Married,1,14454.0,Sports,0.0,2000,Premium,Rural,CA,Collision,No,Snow,Afternoon,6404
157,72,F,Single,8,36743.0,Sports,3.0,1000,Premium,Urban,FL,Liability,Yes,Rain,Night,21140
158,52,M,Divorced,4,14163.0,Sports,3.0,1000,Basic,Urban,NC,Liability,Yes,Clear,Evening,7757
159,27,F,Married,4,26596.0,Sedan,8.0,1000,Standard,Suburban,NY,Comprehensive,No,Clear,Night,3254
160,54,M,Divorced,3,17249.0,Truck,1.0,500,Premium,Suburban,MI,Liability,Yes,Rain,Night,17229
161,30,M,Single,1,6778.0,Truck,1.0,1000,Premium,Suburban,PA,Collision,Yes,Rain,Night,13606
162,56,M,Married,4,27969.0,Sports,2.0,250,Basic,Urban,NY,Collision,No,Clear,Afternoon,4075
163,62,M,Married,6,23462.0,Sedan,4.0,500,Premium,Urban,NY,Comprehensive,No,Snow,Evening,6316
164,32,M,Married,2,8475.0,SUV,3.0,1000,Standard,Rural,NY,Liability,No,Rain,Evening,8132
165,59,M,Married,3,15532.0,Sedan,0.0,2000,Standard,Suburban,FL,Comprehensive,Yes,Clear,Afternoon,4248
166,51,M,Married,9,8924.0,Sedan,1.0,2000,Basic,Rural,PA,Collision,Yes,Clear,Evening,3789
167,57,M,Single,0,31756.0,SUV,0.0,250,Premium,Suburban,PA,Collision,Yes,Rain,Evening,15936
168,73,F,Married,3,44090.0,Sedan,5.0,1000,Basic,Suburban,OH,Collision,Yes,Clear,Evening,9125
169,41,F,Single,2,33682.0,SUV,8.0,1000,Premium,Urban,CA,Comprehensive,Yes,Fog,Afternoon,9836
170,33,M,Single,6,36118.0,SUV,0.0,500,Standard,Suburban,TX,Comprehensive,Yes,Rain,Afternoon,7951
171,31,M,Married,0,17001.0,Sedan,2.0,250,Standard,Suburban,MI,Comprehensive,Yes,Clear,Night,8398
172,32,M,Single,5,28954.0,Sedan,3.0,500,Basic,Urban,GA,Collision,No,Fog,Night,4679
173,43,F,Widowed,0,21926.0,Luxury,2.0,500,Standard,Urban,NC,Liability,No,Clear,Night,6717
174,50,F,Divorced,0,24164.0,Truck,2.0,1000,Basic,Suburban,NY,Liability,No,Clear,Night,6377
175,49,M,Married,6,35550.0,SUV,4.0,250,Premium,Suburban,IL,Collision,Yes,Clear,Morning,13138
176,57,M,Divorced,5,39645.0,Sports,2.0,500,Standard,Suburban,GA,Liability,Yes,Snow,Afternoon,16844
177,45,M,Divorced,11,18126.0,Sedan,10.0,250,Standard,Suburban,MI,Comprehensive,No,Clear,Night,4356
178,66,M,Single,3,10896.0,Sedan,3.0,500,Premium,Suburban,NY,Comprehensive,Yes,Rain,Afternoon,10134
179,41,F,Divorced,3,20056.0,Sedan,0.0,500,Basic,Urban,MI,Collision,Yes,Snow,Afternoon,8869
180,85,F,Single,6,19739.0,SUV,12.0,500,Standard,Suburban,TX,Liability,Yes,Clear,Evening,19635
181,54,M,Married,1,25394.0,SUV,0.0,1000,Basic,Rural,GA,Liability,No,Rain,Morning,5484
182,32,M,Married,0,33406.0,Sedan,6.0,250,Basic,Urban,GA,Comprehensive,Yes,Clear,Night,4926
183,28,M,Married,1,8456.0,Sedan,2.0,500,Standard,Suburban,GA,Collision,No,Clear,Night,5360
184,52,M,Single,1,15749.0,Truck,5.0,1000,Basic,Urban,OH,Comprehensive,Yes,Fog,Night,5177
185,41,F,Single,2,13603.0,SUV,2.0,2000,Standard,Suburban,OH,Collision,Yes,Clear,Afternoon,5951
186,55,F,Married,14,41169.0,Luxury,0.0,1000,Basic,Urban,NC,Comprehensive,Yes,Clear,Night,4819
187,52,M,Married,8,19847.0,Sedan,1.0,1000,Basic,Urban,TX,Comprehensive,Yes,Snow,Night,5282
188,43,M,Married,13,17044.0,SUV,3.0,2000,Standard,Suburban,CA,Collision,No,Clear,Morning,3344
189,32,F,Married,20,28829.0,Truck,3.0,1000,Standard,Urban,MI,Collision,No,Clear,Morning,4615
190,22,F,Single,2,16374.0,Sports,14.0,2000,Basic,Suburban,MI,Comprehensive,No,Clear,Evening,2826
191,38,M,Single,1,21859.0,Sedan,3.0,1000,Standard,Urban,NY,Collision,Yes,Rain,Afternoon,9994
192,57,M,Married,4,54558.0,Sedan,1.0,1000,Standard,Urban,PA,Comprehensive,No,Fog,Night,7119
193,48,M,Married,10,53806.0,Sedan,0.0,500,Standard,Rural,FL,Collision,Yes,Clear,Morning,10596
194,26,F,Single,3,17967.0,SUV,6.0,500,Premium,Suburban,OH,Liability,Yes,Rain,Afternoon,20097
195,47,F,Married,3,20106.0,SUV,8.0,2000,Premium,Urban,NC,Liability,Yes,Clear,Night,9841
196,50,M,Married,0,16163.0,SUV,3.0,250,Standard,Suburban,TX,Liability,Yes,Clear,Afternoon,12936
197,31,F,Single,2,8409.0,Sedan,2.0,2000,Standard,Urban,FL,Collision,No,Rain,Afternoon,4251
198,47,F,Married,2,36978.0,Sedan,7.0,500,Basic,Suburban,TX,Liability,Yes,Rain,Night,11404
199,45,M,Married,2,73914.0,Sedan,1.0,250,Basic,Urban,OH,Collision,Yes,Rain,Night,10361
200,27,M,Married,10,17646.0,Sports,2.0,1000,Standard,Urban,FL,Liability,Yes,Clear,Evening,11578
201,50,F,Divorced,0,14641.0,Truck,2.0,500,Premium,Rural,MI,Collision,No,Clear,Morning,7520
202,53,F,Single,17,19217.0,SUV,0.0,1000,Standard,Urban,OH,Liability,Yes,Clear,Afternoon,10303
203,61,F,Married,0,22983.0,SUV,4.0,250,Basic,Urban,TX,Collision,Yes,Snow,Morning,9697
204,60,F,Married,14,12484.0,Sedan,0.0,2000,Standard,Suburban,PA,Comprehensive,Yes,Clear,Morning,4075
205,24,M,Married,3,17514.0,SUV,1.0,1000,Basic,Urban,FL,Liability,Yes,Clear,Evening,9733
206,30,M,Married,6,36587.0,Sedan,2.0,250,Standard,Suburban,NC,Comprehensive,Yes,Clear,Night,8045
207,52,F,Married,1,23474.0,Truck,4.0,250,Basic,Rural,NY,Comprehensive,No,Fog,Evening,3417
208,52,M,Married,5,41572.0,SUV,0.0,1000,Premium,Urban,PA,Comprehensive,No,Clear,Evening,4423
209,52,F,Single,10,26433.0,Sedan,1.0,2000,Premium,Suburban,NC,Liability,Yes,Rain,Afternoon,10590
210,85,F,Married,0,12778.0,Sedan,1.0,500,Basic,Suburban,GA,Comprehensive,Yes,Clear,Night,6479
211,53,F,Married,0,16514.0,Sedan,0.0,500,Basic,Urban,MI,Comprehensive,Yes,Clear,Evening,4357
212,62,M,Widowed,1,24939.0,Sedan,4.0,2000,Premium,Suburban,NY,Collision,Yes,Clear,Afternoon,9435
213,59,F,Married,0,12565.0,Luxury,1.0,2000,Premium,Suburban,IL,Liability,Yes,Snow,Morning,12701
214,54,F,Married,0,11776.0,SUV,0.0,1000,Premium,Suburban,FL,Collision,Yes,Fog,Night,12445
215,40,F,Married,5,12135.0,SUV,6.0,1000,Standard,Suburban,FL,Collision,Yes,Clear,Afternoon,7958
216,56,M,Divorced,1,28506.0,SUV,0.0,250,Basic,Suburban,OH,Liability,No,Clear,Evening,5981
217,33,M,Widowed,5,18340.0,SUV,9.0,500,Standard,Suburban,FL,Collision,Yes,Clear,Afternoon,9828
218,41,M,Married,9,39784.0,Sedan,4.0,2000,Premium,Urban,MI,Collision,Yes,Clear,Morning,7584
219,37,M,Married,5,14069.0,Sedan,0.0,500,Basic,Suburban,MI,Liability,No,Fog,Evening,5170
220,46,M,Single,0,6446.0,SUV,1.0,500,Premium,Suburban,NY,Liability,No,Clear,Night,8041
221,79,F,Married,4,20633.0,Truck,11.0,500,Standard,Rural,IL,Collision,No,Clear,Night,7738
222,18,F,Married,2,50200.0,Sports,3.0,500,Basic,Suburban,MI,Collision,Yes,Snow,Afternoon,11537
223,55,F,Married,2,22410.0,Sedan,3.0,1000,Standard,Suburban,MI,Collision,Yes,Rain,Night,12196
224,20,M,Single,1,11091.0,Sedan,4.0,250,Standard,Suburban,NC,Liability,No,Clear,Afternoon,9366
225,37,M,Married,13,9777.0,Sports,2.0,1000,Basic,Urban,PA,Collision,Yes,Clear,Evening,6727
226,61,F,Single,6,40092.0,SUV,0.0,1000,Standard,Suburban,FL,Collision,Yes,Clear,Afternoon,10339
227,45,M,Married,0,14709.0,Luxury,0.0,1000,Standard,Suburban,FL,Liability,Yes,Clear,Afternoon,10006
228,28,M,Single,3,47614.0,SUV,4.0,500,Premium,Urban,PA,Comprehensive,Yes,Clear,Night,9292
229,34,M,Married,1,30547.0,SUV,8.0,500,Basic,Suburban,PA,Liability,Yes,Clear,Morning,9782
230,55,F,Single,19,14991.0,Sedan,1.0,1000,Premium,Rural,OH,Collision,Yes,Clear,Morning,10294
231,34,F,Single,19,39480.0,Sedan,2.0,1000,Basic,Rural,NC,Collision,Yes,Clear,Evening,6805
232,48,M,Married,1,13877.0,Sedan,19.0,500,Standard,Suburban,FL,Collision,No,Rain,Evening,5913
233,45,F,Single,2,10682.0,Sedan,1.0,500,Standard,Suburban,PA,Comprehensive,Yes,Clear,Night,6220
234,35,M,Married,4,14280.0,SUV,1.0,500,Premium,Urban,MI,Collision,No,Rain,Night,8317
235,77,M,Divorced,3,32349.0,Truck,1.0,500,Basic,Urban,NC,Collision,No,Clear,Night,5632
236,54,F,Widowed,1,38909.0,Sedan,0.0,1000,Basic,Suburban,MI,Liability,Yes,Clear,Afternoon,8407
237,18,F,Single,5,18069.0,Sedan,2.0,500,Basic,Suburban,CA,Collision,No,Clear,Morning,4331
238,47,F,Divorced,2,8654.0,Luxury,0.0,500,Standard,Suburban,PA,Comprehensive,Yes,Clear,Night,7189
